,ECLO,방문자수,통행속도,주중,주말,store,새벽,밤,선릉,신논현,신사,압구정,청담
0,6,388.0,28.49,0,1,645.6666666666666,0,1,1,0,0,0,0
1,3,1390.0,16.41,0,1,562.3333333333334,0,1,0,0,0,1,0
2,3,690.0,20.22,0,1,433.333333333,0,1,0,0,1,0,0
3,6,10.0,21.98,0,1,562.3333333333334,1,0,0,0,0,1,0
4,3,250.0,26.64,1,0,645.6666666666666,0,1,1,0,0,0,0
5,9,1570.0,17.44,1,0,562.3333333333334,0,1,0,0,0,1,0
6,5,5051.0,15.8,1,0,433.333333333,0,1,0,1,0,0,0
7,3,1290.0,25.18,0,1,251.6666666666,0,1,0,0,0,0,1
8,3,335.0,23.78,1,0,251.6666666666,0,1,0,0,0,0,1
9,3,1336.0,17.05,1,0,645.6666666666666,0,1,1,0,0,0,0
10,6,1757.0,16.74,1,0,433.333333333,0,1,0,1,0,0,0
11,1,0.0,30.31,0,1,433.333333333,1,0,0,0,1,0,0
12,3,705.0,18.51,0,1,562.3333333333334,0,1,0,0,0,1,0
13,6,145.0,20.29,0,1,562.3333333333334,0,1,0,0,0,1,0
14,3,493.0,20.0,1,0,433.333333333,0,1,0,1,0,0,0
15,3,40.0,21.99,1,0,645.6666666666666,0,1,1,0,0,0,0
16,24,1580.0,20.12,0,1,645.6666666666666,0,0,1,0,0,0,0
17,3,525.0,20.33,1,0,562.3333333333334,0,1,0,0,0,1,0
18,11,220.0,28.44,0,1,251.6666666666,1,0,0,0,0,0,1
19,10,285.0,26.32,1,0,251.6666666666,1,0,0,0,0,0,1
20,6,135.0,22.27,1,0,433.333333333,0,1,0,0,1,0,0
21,6,590.0,18.98,1,0,645.6666666666666,0,1,1,0,0,0,0
22,3,3813.0,18.49,1,0,433.333333333,0,0,0,1,0,0,0
23,8,2630.0,16.74,1,0,645.6666666666666,0,1,1,0,0,0,0
24,6,2540.0,20.97,1,0,433.333333333,0,0,0,0,1,0,0
25,3,880.0,22.58,1,0,562.3333333333334,1,0,0,0,0,1,0
26,3,230.0,24.04,1,0,433.333333333,1,0,0,0,1,0,0
27,3,3556.0,22.15,1,0,433.333333333,1,0,0,1,0,0,0
28,3,1255.0,27.64,1,0,251.6666666666,1,0,0,0,0,0,1
29,3,50.0,29.05,1,0,433.333333333,1,0,0,0,1,0,0
30,1,1083.0,21.31,0,1,433.333333333,1,0,0,1,0,0,0
31,3,4588.0,21.62,0,1,433.333333333,0,1,0,1,0,0,0
32,3,735.0,13.82,0,1,433.333333333,0,0,0,0,1,0,0
33,3,926.0,18.11,1,0,645.6666666666666,0,1,1,0,0,0,0
34,3,319.0,20.24,1,0,433.333333333,0,1,0,1,0,0,0
35,3,66.0,30.47,1,0,645.6666666666666,1,0,1,0,0,0,0
36,3,184.0,19.99,1,0,433.333333333,1,0,0,1,0,0,0
37,6,50.0,24.57,0,1,433.333333333,1,0,0,0,1,0,0
38,5,2365.0,22.33,1,0,251.6666666666,0,0,0,0,0,0,1
39,3,1384.0,17.86,1,0,433.333333333,1,0,0,1,0,0,0
40,15,1635.0,19.1,0,1,562.3333333333334,1,0,0,0,0,1,0
41,3,772.0,24.94,1,0,645.6666666666666,1,0,1,0,0,0,0
42,3,164.0,29.98,1,0,645.6666666666666,1,0,1,0,0,0,0
43,1,2109.0,24.43,0,1,433.333333333,1,0,0,1,0,0,0
44,3,1866.0,23.5,0,1,433.333333333,1,0,0,1,0,0,0
45,3,1445.0,17.88,0,1,562.3333333333334,1,0,0,0,0,1,0
46,3,475.0,24.81,1,0,251.6666666666,1,0,0,0,0,0,1
47,6,635.0,22.77,0,1,433.333333333,0,1,0,1,0,0,0
48,6,3840.0,15.45,1,0,433.333333333,0,0,0,0,1,0,0
49,3,2015.0,16.23,1,0,562.3333333333334,0,0,0,0,0,1,0
50,9,234.0,29.66,1,0,645.6666666666666,1,0,1,0,0,0,0
51,3,960.0,27.08,1,0,645.6666666666666,0,0,1,0,0,0,0
52,9,1375.0,19.86,0,1,562.3333333333334,0,0,0,0,0,1,0
53,5,905.0,20.61,0,1,562.3333333333334,0,1,0,0,0,1,0
54,3,880.0,18.77,1,0,562.3333333333334,0,1,0,0,0,1,0
55,3,205.0,21.46,1,0,562.3333333333334,0,1,0,0,0,1,0
56,3,2130.0,16.81,0,1,562.3333333333334,0,1,0,0,0,1,0
57,1,40.0,21.55,1,0,562.3333333333334,1,0,0,0,0,1,0
58,14,1270.0,21.28,0,1,562.3333333333334,0,1,0,0,0,1,0
